indicator,D-5,D-10,D-15,W-4,W-8,W-12,W-16,M-6,M-12,M-18,M-24
BuffettDeviation,0.1311,0.0782,0.082,0.3918,0.3362,0.2483,0.1764,0.1229,0.0326,0.111,0.1038
CFNAI,0.0013,0.0062,0.0379,0.1662,0.5413,0.2785,0.1245,0.0812,0.0611,0.1837,0.3949
CISS,0.0069,0.0017,0.0075,0.4434,0.4491,0.4943,0.494,0.2461,0.2347,0.4561,0.3822
Downside_Beta,0.0114,0.0002,0.0,0.2959,0.358,0.1144,0.0832,0.2054,0.0718,0.2943,0.4624
EPU,0.0368,0.2071,0.0666,0.5878,0.3887,0.2468,0.2099,0.1193,0.158,0.1811,0.3796
HY_Spread,0.0012,0.0086,0.0718,0.2665,0.5072,0.3978,0.4266,0.2295,0.1433,0.4208,0.1774
HillTail,0.1446,0.0659,0.02,0.4899,0.3698,0.3698,0.2506,0.2439,0.3528,0.2309,0.49
M2_Growth,0.1292,0.083,0.1362,0.256,0.5012,0.417,0.3883,0.2476,0.2287,0.1538,0.2395
NFCI,0.0009,0.0004,0.0056,0.184,0.3682,0.3224,0.2605,0.1326,0.0092,0.1028,0.1607
Neely,0.0035,0.002,0.0088,0.4536,0.5018,0.5668,0.618,0.2459,0.0614,0.1935,0.5732
PatroCorr,0.103,0.1624,0.1491,0.5392,0.5532,0.4735,0.4602,0.2563,0.0306,0.1225,0.1956
RSV_Ratio,0.0,0.0001,0.0011,0.1736,0.5569,0.4742,0.3717,0.6303,0.2987,0.3524,0.2591
RSkew,0.0004,0.0049,0.0173,0.288,0.4686,0.3766,0.461,0.385,0.35,0.5387,0.6492
SahmIndicator,0.1817,0.1276,0.1988,0.6021,0.5762,0.4779,0.207,0.2069,0.241,0.3888,0.0908
Shiller_CAPE,0.0195,0.0042,0.0109,0.4713,0.6438,0.3874,0.417,0.2851,0.1707,0.1457,0.1848
Systemic_Corr,0.0217,0.0127,0.0978,0.3229,0.3544,0.392,0.5164,0.3586,0.4891,0.2579,0.6323
VIX,0.0,0.0,0.0004,0.0766,0.4567,0.412,0.2445,0.2148,0.0704,0.2092,0.4813
YC_10Y3M,0.2851,0.1258,0.0768,0.5211,0.6389,0.3901,0.2767,0.3823,0.4923,0.0174,0.0255
Yield_Curve,0.3248,0.1397,0.1051,0.5239,0.7076,0.4412,0.3738,0.4362,0.3078,0.017,0.0255
